ingredient_type,ingredient,moisture,ash_fm,cp_fm,adf_fm,ee_fm,true fat_fm,ndf_fm,me_fm,nel_fm,nem_fm,neg_fm,ms,ash,cp,adf,ee,true_fat,ndf,me,nel,nem,neg,de,eb,a
feed,field_pea_heat_processed,11.90,2.80,20.60,,1.40,1.12,12.10,2885.00,1875.00,2000.00,1390.00,88.10,3.18,23.38,0.00,1.59,1.27,13.73,3274.69,2128.26,2270.15,1577.75,90.30,4439.89,field_pea_heat_processed
feed,horse_bean_white_flower_variety,11.70,2.90,26.50,,1.50,1.13,13.30,2780.00,1795.00,1920.00,1315.00,88.30,3.28,30.01,0.00,1.70,1.27,15.06,3148.36,2032.84,2174.41,1489.24,89.80,4540.79,horse_bean_white_flower_variety
feed,horse_bean_white_flower_variety_dehulled,11.30,3.00,30.00,,1.60,1.20,7.50,2880.00,1870.00,1995.00,1380.00,88.70,3.38,33.82,0.00,1.80,1.35,8.46,3246.90,2108.23,2249.15,1555.81,,4599.53,No encontrado
feed,lentils,12.00,2.60,24.40,,1.30,0.98,8.80,2830.00,1835.00,1955.00,1350.00,88.00,2.95,27.73,0.00,1.48,1.11,10.00,3215.91,2085.23,2221.59,1534.09,,4508.64,No encontrado
feed,linseed,9.30,4.80,22.00,,34.70,32.97,17.00,3950.00,2680.00,2810.00,2145.00,90.70,5.29,24.26,0.00,38.26,36.35,18.74,4355.02,2954.80,3098.13,2364.94,,6413.43,No encontrado
feed,linseed_meal_expeller,9.00,5.60,31.50,,7.60,5.70,23.20,2675.00,1710.00,1835.00,1230.00,91.00,6.15,34.62,0.00,8.35,6.26,25.49,2939.56,1879.12,2016.48,1351.65,,4856.15,No encontrado
feed,linseed_meal,10.50,6.00,34.00,,2.80,1.82,22.60,2390.00,1515.00,1630.00,1065.00,89.50,6.70,37.99,0.00,3.13,2.03,25.25,2670.39,1692.74,1821.23,1189.94,,4590.06,No encontrado
feed,palm_kernel_expeller,8.40,4.40,15.60,,7.60,6.84,58.80,2450.00,1550.00,1670.00,1090.00,91.60,4.80,17.03,0.00,8.30,7.47,64.19,2674.67,1692.14,1823.14,1189.96,,4648.73,No encontrado
feed,palm_kernel_expeller_2,9.80,4.50,16.30,,1.80,1.17,63.80,1985.00,1230.00,1335.00,830.00,90.20,4.99,18.07,0.00,2.00,1.30,70.73,2200.67,1363.64,1480.04,920.18,,4303.30,No encontrado
feed,roasted_soybeans,9.20,5.10,37.00,,20.00,19.00,11.30,3620.00,2430.00,2555.00,1900.00,90.80,5.62,40.75,0.00,22.03,20.93,12.44,3986.78,2676.21,2813.88,2092.51,,5737.58,No encontrado
feed,extruded_soybeans,9.20,5.10,37.00,,20.00,19.00,11.30,3680.00,2470.00,2600.00,1935.00,90.80,5.62,40.75,0.00,22.03,20.93,12.44,4052.86,2720.26,2863.44,2131.06,,5737.58,No encontrado
feed,soybean_meal_44_cp,12.10,6.20,44.00,,1.90,1.33,12.80,2770.00,1795.00,1910.00,1310.00,87.90,7.05,50.06,0.00,2.16,1.51,14.56,3151.31,2042.09,2172.92,1490.33,90.20,4701.55,soybean_meal_44_cp
feed,soybean_meal_45_5_cp,11.90,6.30,45.50,,1.70,1.19,10.90,2780.00,1800.00,1920.00,1315.00,88.10,7.15,51.65,0.00,1.93,1.35,12.37,3155.51,2043.13,2179.34,1492.62,,4708.10,No encontrado
feed,soybean_meal_47_cp,11.80,6.30,47.00,,1.70,1.19,9.50,2800.00,1815.00,1930.00,1330.00,88.20,7.14,53.29,0.00,1.93,1.35,10.77,3174.60,2057.82,2188.21,1507.94,90.70,4732.97,soybean_meal_47_cp
feed,soybean_meal_48_5_cp,11.80,6.30,48.50,,1.70,1.19,8.20,2810.00,1820.00,1940.00,1335.00,88.20,7.14,54.99,0.00,1.93,1.35,9.30,3185.94,2063.49,2199.55,1513.61,,4758.48,No encontrado
feed,soybean_meal_micronized_51_cp,8.90,6.70,51.40,,1.90,1.33,7.60,2980.00,1930.00,2060.00,1420.00,91.10,7.35,56.42,0.00,2.09,1.46,8.34,3271.13,2118.55,2261.25,1558.73,,4779.52,No encontrado
feed,common_vetch,10.00,3.50,26.50,,1.70,1.28,14.30,2860.00,1850.00,1970.00,1360.00,90.00,3.89,29.44,0.00,1.89,1.42,15.89,3177.78,2055.56,2188.89,1511.11,,4516.33,No encontrado
feed,ervil_bitter_vetch,8.40,3.20,22.00,,0.90,0.68,11.50,2875.00,1860.00,1985.00,1360.00,91.60,3.49,24.02,0.00,0.98,0.74,12.55,3138.65,2030.57,2167.03,1484.72,,4401.57,No encontrado
feed,soybean_protein_concentrates_extraction,7.00,6.10,65.00,,1.00,0.65,8.50,3100.00,2020.00,2150.00,1500.00,93.00,6.56,69.89,0.00,1.08,0.70,9.14,3333.33,2172.04,2311.83,1612.90,,4960.00,No encontrado
feed,soybean_protein_concentrates_fermentation,8.00,6.70,53.80,,1.50,0.98,9.00,3030.00,1970.00,2100.00,1460.00,92.00,7.28,58.48,0.00,1.63,1.06,9.78,3293.48,2141.30,2282.61,1586.96,,4788.04,No encontrado
feed,soybean_protein_isolates,6.60,3.20,87.00,,0.50,0.33,0.50,0.00,0.00,0.00,0.00,93.40,3.43,93.15,0.00,0.54,0.35,0.54,0.00,0.00,0.00,0.00,,5416.45,No encontrado
feed,peas_protein_concentrate,7.50,5.00,51.50,,2.10,1.58,8.70,2980.00,1935.00,2060.00,1420.00,92.50,5.41,55.68,0.00,2.27,1.70,9.41,3221.62,2091.89,2227.03,1535.14,,4864.43,No encontrado
feed,peas_protein_isolate,8.50,4.00,76.40,,5.50,4.95,1.50,0.00,0.00,0.00,0.00,91.50,4.37,83.50,0.00,6.01,5.41,1.64,0.00,0.00,0.00,0.00,,5536.72,No encontrado
feed,potato_protein_isolate,7.50,2.40,79.00,,2.00,1.40,3.00,3000.00,1950.00,2080.00,1450.00,92.50,2.59,85.41,0.00,2.16,1.51,3.24,3243.24,2108.11,2248.65,1567.57,,5428.00,No encontrado
feed,wheat_protein_hydrolyzed,8.60,3.90,65.60,,6.00,5.58,8.80,0.00,0.00,0.00,0.00,91.40,4.27,71.77,0.00,6.56,6.11,9.63,0.00,0.00,0.00,0.00,,5396.46,No encontrado
feed,rice_protein_concentrate,7.50,1.00,78.00,,4.30,3.66,2.00,3350.00,2210.00,2340.00,1675.00,92.50,1.08,84.32,0.00,4.65,3.95,2.16,3621.62,2389.19,2529.73,1810.81,,5617.62,No encontrado
feed,brewery_yeast,8.20,7.00,46.00,,2.00,1.60,6.50,2710.00,1740.00,1860.00,1250.00,91.80,7.63,50.11,0.00,2.18,1.74,7.08,2952.07,1895.42,2026.14,1361.66,89.70,4678.13,brewery_yeast
