ingredient_type,ingredient,MS_pct,ASH_pct,CP_pct,EE_pct,NDF_pct,DE_pct,ED_kcalkg,swine_ME_kcal_kg,poultry_ME_kcal_kg
concentrate,methionine_hydrozylate_analog_calcium_salts,99,18.18,0,0,0,NA,3340.08,4777.777778,3742.424242
concentrate,l_lysine_hcl,99.5,0.3,94.87,0,0,NA,5549.85,4422.110553,3748.743719
concentrate,l_lysine_50,54,0.56,111.11,0,0,NA,5782.01,5092.592593,4314.814815
concentrate,l_lysine_sulfate,96,4.17,83.33,0,0,NA,5206.47,4115.625,3952.083333
concentrate,l_threonine,99.5,0.5,72.86,0,0,NA,5210.9,3809.045226,3256.281407
concentrate,l_triptophane,99.4,0.7,85.01,0,0,NA,5384.35,6136.820926,5432.595573
concentrate,l_valine,99,0.51,73.13,0,0,NA,5214.51,5328.282828,5151.515152
concentrate,l_arginine,99.5,0.1,197.89,0,0,NA,7103.95,3718.592965,2994.974874
concentrate,l_isoleucine,99,0,68.69,0,0,NA,5170.35,6212.121212,5858.585859
concentrate,l_histidine_hcl,99,0.51,126.57,0,0,NA,6016.11,0,1800
concentrate,starch_96,97,0.15,0,0,0,NA,4133.4,4154.639175,4154.639175
concentrate,starch_84,89,0.22,0,0,0,NA,4130.32,4162.921348,4101.123596
concentrate,sucrose,99.5,0.2,0,0,0,NA,4131.2,3899.497487,3819.095477
concentrate,dextrose_monohydrated,91.5,0.22,0,0,0,NA,4130.32,3934.42623,3606.557377
concentrate,lactose,96.5,0.41,0,0,0,NA,4121.96,3834.196891,2590.673575
concentrate,citric_acid,100,0,0,0,0,NA,4140,2530,2500
concentrate,fumaric_acid,100,0,0,0,0,NA,4140,2750,2710
concentrate,propionic_acid,100,0,0,0,0,NA,4140,4280,4280
concentrate,formic_acid,100,0,0,0,0,NA,4140,900,900
concentrate,butiric_acid,100,0,0,0,0,NA,4140,5975,5500
concentrate,dl_malic_acid,100,0,0,0,0,NA,4140,2390,2350
concentrate,benzoic_acid,100,0,0,0,0,NA,4140,0,0
concentrate,aceyic_acid,100,0,0,0,0,NA,4140,3300,3480
concentrate,lactic_acid,100,0,0,0,0,NA,4140,3610,3550
concentrate,sorbic_acid,100,0,0,0,0,NA,4140,0,0
concentrate,propylenglycol,100,0,0,0,0,NA,4140,5150,5000
concentrate,sodium_formiate,100,0,0,0,0,NA,4140,0,0
concentrate,ammonium_formiate,100,0,135.5,0,0,NA,6172.5,0,0
concentrate,potasium_diformiate,100,0,0,0,0,NA,4140,0,0
concentrate,calcium_formiate,100,0,0,0,0,NA,4140,0,0
concentrate,sodium_propionate,100,0,0,0,0,NA,4140,0,0
concentrate,ammonium_propionate,100,0,96.15,0,0,NA,5582.25,0,0
concentrate,calcium_propionate,100,0,0,0,0,NA,4140,0,0
concentrate,sodium_butyrate,100,0,0,0,0,0,4140,0,0
concentrate,calcium_butyrate,100,0,0,0,0,NA,4140,0,0
concentrate,choline_chloride_75,75,0,0,0,0,NA,4140,0,0
concentrate,choline_chloride_60,98,0,0,0,0,NA,4140,0,0
concentrate,choline_chloride_50_vegetable,97.5,0,0,0,0,NA,4140,0,0
concentrate,choline_chloride_50_mineral,88,0,0,0,0,NA,4140,0,0
concentrate,betaine_anhydrous_97,98.5,0,0,0,0,NA,4140,0,0
concentrate,betaine_anhydrous_93,98.5,0,0,0,0,NA,4140,0,0
concentrate,betaine_hydrocloride,98,0,0,0,0,NA,4140,0,0
concentrate,copper_sulphate_pentahydrate,100,0,0,0,0,NA,4140,0,0
concentrate,copper_oxide_ii,99.8,0,0,0,0,NA,4140,0,0
concentrate,dichloro_trihydroxychloride_tbcc,98,0,0,0,0,NA,4140,0,0
concentrate,zinc_hydroxy_chlorur_monohydrate,100,0,0,0,0,NA,4140,0,0
concentrate,zinc_sulfate_monohydrated,99,0,0,0,0,NA,4140,0,0
concentrate,zinc_sulfate_pentahydrated,100,0,0,0,0,NA,4140,0,0
concentrate,zinc_oxide_72,99.5,0,0,0,0,NA,4140,0,0
concentrate,zinc_oxide_75,99.5,0,0,0,0,NA,4140,0,0
